entity,total_mentions,doc_freq
가독성,1,1
표현,1,1
주관적변용,1,1
절대적주관성,1,1
문학위기론,1,1
등단,1,1
주관적변용의문법,1,1
대중성,1,1
통속성,1,1
간주관성,1,1
공명,1,1
앨리스맵,1,1
비통사적언어,1,1
나'의분열,1,1
주관의순정한표백,1,1
시적주관성,1,1
기하학적대칭성,1,1
모던한시대,1,1
그로테스크한이미지,1,1
환경/생태적상상력,1,1
온정주의,1,1
세대교체,1,1
서정의차이,1,1
계몽의폭력,1,1
경험,1,1
체험,1,1
자연/생태,1,1
근대의극복,1,1
미래파적경향,1,1
미학적실험성,1,1
전통의부정으로서의근대성,1,1
감성구조,1,1
Constructivism,1,1
구성,1,1
러시아아방가르드,1,1
추상미술,1,1
순수성,1,1
구축,1,1
반전통주의,1,1
형식의갱신,1,1
형식－내용,1,1
시성,1,1
해체시적경향,1,1
이질적인타자들의목소리,1,1
고백적목소리,1,1
상징적인질서,1,1
